species_code	WL	HL.std	HW.std	SL.std	ML.std	EL.std	IO.std	DEM.std	FL.std	TL.std
Brachymyrmex_sp.1	Br.M01	0.115251469162718	0.256826333346296	0.301029995663981	0.281937053883406	0.171396137878366	0.0527063501893815	0.0649408067411623	0.189879543298191	0.293968141223346	0.264513161959389
Carebara_pr_brevipilosa	Ca.bre	0.15575268401657	0.206580581186518	0.266103352789704	0.183916596711463	0.178715402930349	0.0413926850667001	0.0422890620641807	0.125924649583102	0.218678702848977	0.176091258988563
Carebara_pr_globularia	Ca.glo	0.0969100130080564	0.258571556753778	0.26555767744632	0.167491087108465	0.152767830029777	0.0001736830584649	0.265463416074696	0.258475766650821	0.173243416251428	0.149762319754273
Carebara_pr_inca	Ca.inc	0.197325611750061	0.267704932222907	0.265702033339302	0.138302698440856	0.134698574014913	0.0422890618358403	0.0251661682198925	0.198532127951824	0.172788623528652	0.162727297592085
Carebara_MPEG_04	Ca.M04	0.211507916173488	0.231246524032937	0.248815887606237	0.123238951828122	0.118099311946155	0.0263289385594887	0.0198948285929709	0.141988387907022	0.166947879674718	0.157607853482043
Carebara_MPEG_05	Ca.M05	0.143688172700658	0.161368001967659	0.270096281219651	0.176091258686531	0.146128035520031	0.000110730975213961	0.270036816696288	0.161291619324932	0.176091258686531	0.146128035520031
Crematogaster_pr_obscurata	Cr.obs	0.184912709496167	0.240632867421746	0.283518818949916	0.265398384187932	0.186551140551294	0.105005102074441	0.0397274826497404	0.141950550330727	0.267028008882354	0.219083650939707
Crematogaster_pr_sotobosque	Cr.sot	0.202920825398258	0.21861977952561	0.236607749449777	0.263241434807726	0.170696227173533	0.095836355221658	0.0243268495790589	0.12761132663347	0.284639579489835	0.231394067692994
Cyphomyrmex_hamulatus	Cy.ham	0.203587432591417	0.218991538937247	0.256062850061635	0.183153113734478	0.159152837254933	0.0720026615919646	0.040744967429929	0.149168616418572	0.267748608507999	0.231703504364823
Cyphomyrmex_laevigatus	Cy.lae	0.296751197714806	0.230448921404332	0.278753600882885	0.170261715287205	0.146128035741521	0.0644579891810929	0.133538908200843	0.181843588049689	0.264817823038426	0.22010808814146
Cyphomyrmex_peltatus	Cy.pel	0.216709109982558	0.224995824801597	0.255272505222627	0.175652356125619	0.127889786307608	0.0601252702169834	0.058977860153235	0.160913956705025	0.256367825959168	0.222243383420373
Discothyrea_sexarticulata	Di.sex	0.122406399978617	0.268845312189972	0.301029995663981	0.234083206589162	0.132625565625618	0.0299632234663702	0.0579919471444248	0.196294644780176	0.196294645629024	0.154901960385914
Dolichoderus_pr_imitator	Do.imi	0.509546344692214	0.141580407881201	0.118099312130486	0.259938799176483	0.0993160827914889	0.0617455958877752	0.0430346323047257	0.107633878281215	0.260766815635981	0.224554642984629
Fulakora_elongata	Fu.elo	0.263241434814063	0.197685872498836	0.213595874599791	0.156940904919874	0.200914842606996	0.0296224664006303	0.0199710812878151	0.087614413439166	0.167491087356302	0.153366444404033
Gnamptogenys_pleurodon	Gn.ple	0.335014493039726	0.204119982702611	0.209515014597963	0.230448921246453	0.146128035624882	0.0492180227502158	0.0253058653070526	0.113943352479218	0.287801729907123	0.187520720855865
Hypoponera_MPEG_04	Hy.M04	0.180796554136011	0.209582878247908	0.219644204099937	0.183359955612884	0.141787027695584	0.0161867609753158	0.0368713596906894	0.104538970547666	0.181554154763024	0.151590931319661
Hypoponera_MPEG_05	Hy.M05	0.236912496032492	0.18767313172102	0.220673391596484	0.18767313172102	0.147801619556292	0.0115818724710491	0.0392532988890097	0.139368452077892	0.217128110855451	0.108491885595679
Hypoponera_MPEG_06	Hy.M06	0.211507916173488	0.210853365527865	0.243038048686294	0.148062535640013	0.166947879674718	0.0263289385594887	0.051152522139756	0.166947879674718	0.210853365527865	0.118099311946155
Hypoponera_MPEG_07	Hy.M07	0.253850917954273	0.170696227298861	0.202104691331571	0.191885526219381	0.136837959893227	0.0106197581696779	0.031034233532528	0.132907666292005	0.212088912339629	0.191885526219381
Monomorium_pr_floricola	Mo.flo	0.15575268401657	0.229674087074379	0.237360915688628	0.221848749616356	0.139497456679654	0.0555173274873929	0.0437789242889674	0.184777438071317	0.233534507861366	0.189056236456937
Myrmicocrypta_pr_foreli	My.for	0.260912772512037	0.212441281002141	0.244512734091411	0.234083205945475	0.179524434869161	0.0299632231665002	0.0177287668338658	0.111150452020597	0.264649197688732	0.202825512114022
Neocerapachys_splendens	Ne.spl	0.311014216590323	0.172862288919289	0.166331421747662	0.146128035618953	0.0949755130604134	0.0627908299711842	0.0188853441956923	0.146128035618953	0.172862288919289	0.139179175649282
Nylanderia_pr_fulva_longiscapa	Ny.ful	0.239373094563084	0.181843587905915	0.211298567234635	0.267953536936756	0.120573931384832	0.0543576624963105	0.0791812460476248	0.141972075722505	0.252043534995146	0.228742457575884
Ochetomyrmex_neopolitus	Oc.neo	0.17209902941609	0.230860770080432	0.260686754245984	0.187611682189298	0.173750043554573	0.0826695741673319	0.020521667191318	0.178419921063826	0.236992088405641	0.15943134623178
Octostruma_balzani	Oc.bal	0.184524426562478	0.200080004798985	0.305828878513297	0.181420092632778	0.12493873648525	0.0310342335362997	0.0897743193938308	0.0310342335362997	0.233278211512198	0.146128035889181
