pH	C	MO	N	C_N	Al	Na_Cl	K	P	dens_part	pH.std	MO.std	N.std	C_N.std	Al.std	Na_Cl.std	K.std	P.std	dens_part.std	Area	PC1	PC2	PC3	PC4	WL	HL.std	HW.std	SL.std	ML.std	EL.std	IO.std	DEM.std	FL.std	TL.std	Sobs
Macaco_W1	3.2	5.565	9.6	0.155	8.435	1.885	0	65.735	11.15	2.545	-2.07624418705109	-1.4398655502479	-2.91095105467659	-0.659679403896928	-0.764828732582624	-1.13065155838944	1.65108700101685	1.12193445121464	0.266755979719655	Macaco	-0.0637202964994982	-0.0150184815355935	-0.0188173464246039	0.000757185168461052	0.165804054323133	0.2257492047263	0.254195269540763	0.199869961107487	0.150019981308256	0.0267747880314206	0.0852965179957105	0.168591287546604	0.210334268326655	0.170166084919981	9
Macaco_W10	4.295	12.015	20.715	0.815	15.055	1.7	0.45	41.825	9.595	2.505	0.676902538377932	0.0562724987177824	-0.61786050832304	0.481907597880033	-1.05767450463047	-0.633513483101496	-0.44918291932137	0.648913042383257	-0.424122816676578	Macaco	-0.0700246397871079	-0.019369241438416	0.0211746304442788	0.0209390991216951	0.154501388409473	0.230731837742929	0.247465687129074	0.185285867395424	0.153635741722467	0.035841853330838	0.0482673227060565	0.184250236843539	0.201340697388024	0.162862150127586	4
Macaco_W11	4.29	12.6233333333333	21.76	0.68	20.3333333333333	1.66666666666667	0.3	39.8333333333333	7.65333333333333	2.54	0.664331092143097	0.196935050329941	-1.08690175644081	1.39213066802798	-1.11043950860306	-0.799226174864143	-0.624132212141959	0.0582700184941265	0.180396130170128	Macaco	0.0581259494564227	-0.0747592087883422	0.0230552245557754	0.0484582129233097	0.292951864222606	0.23000966306785	0.219675851078527	0.177367638895814	0.164434591801434	0.0238759357717806	0.0308438246518598	0.189477421858665	0.180540941376229	0.149151595981336	2
Macaco_W16	4.31	10.3133333333333	17.7866666666667	0.896666666666667	12.14	2.07666666666667	0.396666666666667	27.57	5.54333333333333	2.5	0.714616877082439	-0.337896724858872	-0.334119506375252	-0.0207700622679794	-0.461429959740258	-0.692433551283771	-1.70135137245484	-0.583578967122732	-0.510482666226105	Macaco	-0.0525685891233738	0.000130858114778656	0.0187548149777048	0.014192071652816	0.170428458226945	0.224574796315979	0.257766979089953	0.1948907494438	0.169645849323239	0.0472883033804872	0.0458666377271069	0.1713970103072	0.220311914294057	0.165463168584389	5
Macaco_W17	4.19666666666667	8.01	13.8133333333333	0.716666666666667	10.4833333333333	1.7	0.66	36.76	6.28	2.52	0.429664095759498	-0.872728500047684	-0.959507837198947	-0.306454221322939	-1.05767450463047	-0.401515714633791	-0.894095807088542	-0.359489510848915	-0.165043268027989	Macaco	-0.07372031419178	-0.017331496379433	0.0274902071695593	0.00450499270091422	0.145178279232211	0.222458031719501	0.242237952117353	0.192991343610084	0.152487786607776	0.0358701261684244	0.045207935215823	0.169774176245613	0.19223474126245	0.162773420796199	5
Macaco_W18	4.18333333333333	9.22666666666667	15.9033333333333	0.85	10.9566666666667	1.79333333333333	0.66	33.6966666666667	6.34	2.57333333333333	0.396140239133269	-0.591403396823367	-0.496257221773988	-0.224830175878665	-0.909932493507234	-0.401515714633791	-1.16318099554398	-0.341237880926161	0.75612846050032	Macaco	-0.0396525546788652	-0.0634680680572584	0.0336449753768	-0.0195478636281195	0.17860415270936	0.21030184385725	0.216577502055435	0.175034653700393	0.140902976432215	0.0164267334806534	0.0458425727544224	0.147518748351068	0.166102311775721	0.145530248404252	3
Macaco_W2	3.195	12.615	21.75	0.475	27.28	1.745	0	41.825	7.8	2.625	-2.08881563328593	0.195588997204465	-1.79914957765669	2.59004975750592	-0.986441749267482	-1.13065155838944	-0.44918291932137	0.102885113860859	1.64851357251212	Macaco	-0.0213658607569079	0.0105514175559864	0.0185609148018811	0.00669579784029569	0.193925945698588	0.22572783659442	0.242889459018994	0.207403366472905	0.162684214521745	0.0375109906576479	0.0377153883591115	0.159913733399672	0.231116134347444	0.174842301338793	5
Macaco_W20	4.74	12.6233333333333	21.7633333333333	0.963333333333333	12.0866666666667	1.26	1.19	30.6333333333333	7.45333333333333	2.59	1.79576125327831	0.197383734705099	-0.102494198662773	-0.0299671378109964	-1.7541725570686	0.184002462927561	-1.43226618399941	-0.00256874791505438	1.04399462566542	Macaco	0.00245990979348717	-0.019021854058769	0.0186582994524199	-0.0462491805361154	0.213132842876521	0.216133022567726	0.224134237815534	0.181168258815223	0.146904949554421	0.0449715379207953	0.0517404197016917	0.105534421385141	0.214844311198712	0.170478971163083	2
Macaco_W3	3.145	8.72	15.03	0.965	9.005	1.795	0	47.805	10.46	2.55	-2.21453009563429	-0.708958703114868	-0.0967035659699604	-0.561385659030937	-0.907294243308604	-1.13065155838944	0.0761041623859721	0.912040707102965	0.353115829269183	Macaco	0.00982355123486219	-6.74439029316305e-05	0.0121767858129237	-0.044028269079019	0.217348532993641	0.199967378104335	0.235046639679809	0.204985459979783	0.143216854510574	0.0368293079404677	0.0460220009798797	0.114774746532345	0.231658423047519	0.1696986818232	5
Macaco_W4	3.225	11.13	19.19	0.815	13.84	1.65	0.15	41.825	11.27	2.59	-2.01338695587691	-0.149000602917186	-0.61786050832304	0.272386720665681	-1.13682201058935	-0.96493886662679	-0.44918291932137	1.15843771106015	1.04399462566542	Macaco	-0.0579915649039255	0.0137306823639839	0.0237492972354972	-0.0208008701208208	0.162907036725475	0.225289873852046	0.275863953748296	0.202052835969088	0.169027577577292	0.0448767864793342	0.0440436415503235	0.131738779514182	0.216938869248209	0.181799007227934	4
