Area Amostra Prof pH C MO N  C_N Al Na_Cl K P dens_part
Macaco W1  0_15 3.1 5.94 10.24 0.00 0.00 1.98 0.00 59.76 11.54 2.51
Macaco W1  15_30 3.3 5.19 8.96 0.31 16.87 1.79 0.00 71.71 10.76 2.58
Macaco W2  0_15 3.07 14.10 24.31 0.59 23.98 1.89 0.00 35.85 10.76 2.64
Macaco W2  15_30 3.32 11.13 19.19 0.36 30.58 1.60 0.00 47.80 4.84 2.61
Macaco W3  0_15 3.05 7.05 12.15 0.95 7.41 1.89 0.00 59.76 10.34 2.58
Macaco W3  15_30 3.24 10.39 17.91 0.98 10.60 1.70 0.00 35.85 10.58 2.52
Macaco W4  0_15 3.21 10.39 17.91 0.87 11.97 1.79 0.00 47.80 12.26 2.60
Macaco W4  15_30 3.24 11.87 20.47 0.76 15.71 1.51 0.30 35.85 10.28 2.58
Macaco W5  0_15 3.43 11.13 19.19 1.48 7.50 1.04 0.00 107.56 11.12 2.55
Macaco W5  15_30 3.27 14.84 25.59 1.20 12.33 2.64 0.00 35.85 8.07 2.46
Macaco W6  0_15 4.23 13.84 23.85 1.04 13.36 1.98 0.00 71.71 11.54 2.48
Macaco W6  15_30 4.34 18.93 32.64 1.06 17.80 2.36 0.00 47.80 10.76 2.43
Macaco W7  0_15 4.41 22.21 38.29 1.09 20.34 2.36 0.00 47.80 10.76 2.55
Macaco W7  15_30 4.46 20.76 35.78 1.15 18.08 1.79 0.00 47.80 4.84 2.43
Macaco W8  0_15 4.4 18.57 32.02 1.01 18.42 2.36 0.00 47.80 10.34 2.55
Macaco W8  15_30 4.15 21.12 36.41 0.50 41.90 2.08 0.30 47.80 10.58 2.55
Macaco W9  0_15 4.11 24.03 41.43 1.32 18.26 1.79 0.90 59.76 12.26 2.49
Macaco W9  15_30 4.32 18.93 32.64 1.65 11.46 2.36 0.00 47.80 10.28 2.40
Macaco W10  0_15 4.22 11.29 19.46 0.90 12.60 1.98 0.60 35.85 11.12 2.46
Macaco W10  15_30 4.37 12.74 21.97 0.73 17.51 1.42 0.30 47.80 8.07 2.55
Macaco W11  0_10 4.11 13.84 23.85 0.81 17.04 1.70 0.00 35.85 8.85 2.55
