species	ID	ID_Rony	group	guild
Brachymyrmex_sp.1	Br.sp1	Br.M01	litter	omnivore
Carebara_pr_brevipilosa	Car.bre	Ca.bre	subt	predator
Carebara_pr_globularia	Car.glo	Ca.glo	subt	predator
Carebara_pr_inca	Car.inc	Ca.inc	subt	predator
Carebara_MPEG_04	Car.sp3	Ca.M04	subt	predator
Carebara_MPEG_05	Car.sp4	Ca.M05	subt	predator
Crematogaster_pr_obscurata	Cre.obs	Cr.obs	ground	omnivore
Crematogaster_pr_sotobosque	Cre.sot	Cr.sot	ground	omnivore
Cyphomyrmex_hamulatus	Cyp.ham	Cy.ham	litter	herbivore
Cyphomyrmex_laevigatus	Cyp.lae	Cy.lae	litter	herbivore
Cyphomyrmex_peltatus	Cyp.pel	Cy.pel	litter	herbivore
Discothyrea_sexarticulata	Dis.sex	Di.sex	litter	predator
Dolichoderus_pr_imitator	Dol.imi	Do.imi	ground	omnivore
Fulakora_elongata	Ful.elo	Fu.elo	subt	predator
Gnamptogenys_pleurodon	Gna.ple	Gn.ple	subt	predator
Hypoponera_MPEG_04	Hyp.sp1	Hy.M04	litter	predator
Hypoponera_MPEG_05	Hyp.sp2	Hy.M05	subt	predator
Hypoponera_MPEG_06	Hyp.sp3	Hy.M06	subt	predator
Hypoponera_MPEG_07	Hyp.sp4	Hy.M07	subt	predator
Monomorium_pr_floricola	Mon.flo	Mo.flo	ground	omnivore
Myrmicocrypta_pr_foreli	Myr.for	My.for	litter	herbivore
Neocerapachys_splendens	Neo.spl	Ne.spl	subt	predator
Nylanderia_pr_fulva_longiscapa	Nyl.ful	Ny.ful	ground	omnivore
Ochetomyrmex_neopolitus	Och.neo	Oc.neo	litter	omnivore
Octostruma_balzani	Oct.bal	Oc.bal	litter	predator
Octostruma_iheringi	Oct.ihe	Oc.ihe	litter	predator
Pachycondyla_harpax	Pac.har	Pa.har	litter	predator
Pheidole_fracticeps	Ph.fra	Ph.fra	litter	omnivore
Pheidole_gr._Diligens_MPEG_01	Ph.d.sp1	Ph.D01	litter	omnivore
Pheidole_gr._Fallax_MPEG_01	Ph.f.sp1	Ph.F01	litter	omnivore
Pheidole_gr._Fallax_MPEG_02	Ph.f.sp2	Ph.F02	litter	omnivore
Pheidole_gr._Tristis_MPEG_01	Ph.t.sp1	Ph.T01	litter	omnivore
Pheidole_scolioceps	Ph.sco	Ph.sco	litter	omnivore
Pheidole_MPEG_26	Ph.sp4	Ph.M26	litter	omnivore
Rasopone_pr_arhuaca	Ras.arh	Ra.arh	subt	predator
Rasopone_sp.1	Ras.sp1	Ra.M01	subt	predator
Rhopalothrix_sp.1	Rho.sp1	Rh.M01	subt	predator
Rogeria_sp.1	Rog.sp1	Ro.M01	subt	predator
Solenopsis_MPEG_20	Sol.sp1	So.M20	subt	omnivore
Solenopsis_MPEG_15	Sol.sp2	So.M15	subt	omnivore
Solenopsis_MPEG_19	Sol.sp3	So.M19	subt	omnivore
Solenopsis_MPEG_21	Sol.sp4	So.M21	subt	omnivore
Solenopsis_MPEG_22	Sol.sp5	So.M22	subt	omnivore
Strumigenys_carinithorax	Str.sp1	St.car	litter	predator
Typhlomyrmex_pr_meire	Ty.mei	Ty.mei	subt	predator
Typhlomyrmex_pr_pusillus	Ty.pus	Ty.pus	subt	predator
Typhlomyrmex_pr_rogenhoferi	Ty.rog	Ty.rog	subt	predator

