Transect	Sample	Areia	Argila	Silte
Macaco	W1	780	150	70
Mocambo	W1	470	240	290
Macaco	W10	840	100	60
Mocambo	W10	640	210	150
Macaco	W11	780	150	70
Mocambo	W11	640	210	150
Macaco	W12	770	140	90
Mocambo	W12	610	220	170
Macaco	W13	780	150	70
Mocambo	W13	630	210	160
Macaco	W14	770	140	90
Mocambo	W14	720	150	130
Macaco	W15	820	120	60
Mocambo	W15	690	130	180
Macaco	W16	760	140	100
Mocambo	W16	690	150	160
Macaco	W17	810	120	70
Mocambo	W17	660	150	190
Macaco	W18	820	120	60
Mocambo	W18	670	130	200
Macaco	W19	840	100	60
Mocambo	W19	600	160	240
Macaco	W2	770	140	90
Mocambo	W2	660	110	230
Macaco	W20	840	100	60
Mocambo	W20	600	160	240
Macaco	W3	780	150	70
Mocambo	W3	700	130	170
Macaco	W4	770	140	90
Mocambo	W4	710	170	120
Macaco	W5	820	120	60
Mocambo	W5	680	180	140
Macaco	W6	760	140	100
Mocambo	W6	620	210	170
Macaco	W7	810	120	70
Mocambo	W7	730	150	120
Macaco	W8	820	120	60
Mocambo	W8	700	170	130
Macaco	W9	840	100	60
Mocambo	W9	700	190	110
